pcap_file,packet_index,ts,ts_iso,frame_len,src_ip,dst_ip,src_port,dst_port,protocol,geoip_src_country,geoip_src_asn,geoip_dst_country,geoip_dst_asn,is_dns,is_http,is_tls,tls_sni,tls_cert_issuer,tls_cert_fingerprint,tls_cached_info,tcp_flags,dns_qname,dns_qtype,dns_resp_code,dns_a_record,dns_a_ttl,dns_qname_length,dns_qname_entropy,enrich_vt,enrich_whois
demo.pcapng,112,1762971077.59841,2025-11-12T18:11:17.598410,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,113,1762971077.59841,2025-11-12T18:11:17.598410,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,114,1762971077.59841,2025-11-12T18:11:17.598410,778,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,115,1762971077.598544,2025-11-12T18:11:17.598544,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,116,1762971077.598741,2025-11-12T18:11:17.598741,113,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,117,1762971077.598767,2025-11-12T18:11:17.598767,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,118,1762971077.599743,2025-11-12T18:11:17.599743,113,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,119,1762971077.609099,2025-11-12T18:11:17.609099,74,,,443,52958,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,120,1762971078.469027,2025-11-12T18:11:18.469027,91,,,63768,53,UDP,,,,,1,0,0,,,,,,i.ytimg.com,1,,,,11.0,2.913977073182752,{},{}
demo.pcapng,121,1762971078.473256,2025-11-12T18:11:18.473256,1292,,,56350,443,UDP,,,,,0,0,0,,,,,,,,,,,,,,
demo.pcapng,122,1762971078.473429,2025-11-12T18:11:18.473429,1292,,,56350,443,UDP,,,,,0,0,0,,,,,,,,,,,,,,
demo.pcapng,123,1762971078.473879,2025-11-12T18:11:18.473879,425,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,124,1762971078.476068,2025-11-12T18:11:18.476068,205,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,125,1762971078.476289,2025-11-12T18:11:18.476289,203,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,126,1762971078.478481,2025-11-12T18:11:18.478481,188,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,127,1762971078.478758,2025-11-12T18:11:18.478758,200,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,128,1762971078.481496,2025-11-12T18:11:18.481496,74,,,443,52958,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,129,1762971078.482024,2025-11-12T18:11:18.482024,74,,,443,52958,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,130,1762971078.482024,2025-11-12T18:11:18.482024,74,,,443,52958,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
